Force (N)_mean,Force (N)_std,Force (N)_min,Force (N)_max,Current (A)_mean,Current (A)_std,Current (A)_min,Current (A)_max,Pressure (PSI),Welding Time (ms),Angle (Deg),Thickness A (mm),Thickness B (mm),Welding_Time_Total
108.21571428571428,0.07276838664720792,108.11,108.32,3559.344285714286,391.0999257162265,3195.27,4241.57,80,600,0,0.639,0.637,4200
108.17999999999999,0.21079215671683446,107.89,108.37,3415.037142857143,390.38053455204806,2944.26,4111.01,80,600,0,0.642,0.637,4200
107.99000000000001,0.11561430130682666,107.87,108.17,3248.7914285714287,519.1888680890789,2326.9,3725.15,80,600,0,0.64,0.631,4200
108.47142857142856,0.10915257997081201,108.26,108.59,3357.4785714285713,519.1375075202,2509.0,3977.04,80,600,0,0.634,0.636,4200
108.78714285714285,0.05407226205560013,108.7,108.84,3478.535714285714,451.8150114761992,2772.15,4250.48,80,600,0,0.629,0.632,4200
108.50714285714285,0.17461522324951678,108.26,108.7,3311.5685714285714,389.85824224661343,2755.97,3964.48,80,600,0,0.637,0.634,4200
108.21285714285715,0.08240434570140011,108.09,108.29,3346.9700000000003,498.4830485917583,2509.0,3988.7,80,600,0,0.632,0.633,4200
108.21000000000001,0.10279429296738982,108.07,108.36,3198.9842857142858,647.6756580742438,2316.53,4029.88,80,600,0,0.636,0.631,4200
108.59666666666668,0.10893423092245877,108.42,108.7,3278.596666666667,415.6384352134277,2534.92,3668.85,80,600,0,0.631,0.637,3600
108.645,0.022583179581271984,108.62,108.68,3276.5499999999997,473.9334422469044,2532.88,4017.06,80,600,0,0.625,0.64,3600
108.45857142857143,0.05639993245521533,108.42,108.58,3329.082857142857,448.87665992320166,2656.19,4047.77,80,600,0,0.64,0.634,4200
108.12666666666667,0.0930949336251275,108.03,108.29,2896.7183333333337,593.6933075727454,1879.58,3472.32,80,600,0,0.64,0.635,3600
108.16285714285713,0.06421689437998009,108.12,108.29,3186.5371428571425,660.280691820135,1786.69,3637.78,80,600,0,0.641,0.636,4200
108.17285714285715,0.06264031867583514,108.09,108.28,2959.0628571428574,379.4748588384692,2483.51,3490.6,80,600,0,0.629,0.625,4200
108.18800000000002,0.0756306816047527,108.14,108.32,3009.33,536.6576808357446,2227.19,3503.39,80,600,0,0.634,0.629,3000
